Country,Region,Locality,time,temperature,Latitude,Longitude,nearest_lat,nearest_lon
Russia,Khabarovskyi kr.,"Khabarovsk, Arboretum",2014-01-13,-31.22609,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2010-01-12,-30.109024,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2010-01-13,-33.124557,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2010-01-14,-30.329117,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2011-01-07,-30.124542,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2011-01-08,-32.043137,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2011-01-09,-31.093369,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2011-01-13,-32.2173,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2011-01-14,-32.282578,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2012-01-10,-30.108322,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2013-01-07,-30.746628,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2013-01-08,-31.226227,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2013-01-09,-32.320587,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2013-01-10,-30.19429,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2014-01-12,-30.603989,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Gagarin Park",2014-01-13,-31.22609,48.28,135.06,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2010-01-12,-30.109024,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2010-01-13,-33.124557,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2010-01-14,-30.329117,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2011-01-07,-30.124542,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2011-01-08,-32.043137,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2011-01-09,-31.093369,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2011-01-13,-32.2173,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2011-01-14,-32.282578,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2012-01-10,-30.108322,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2013-01-07,-30.746628,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2013-01-08,-31.226227,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2013-01-09,-32.320587,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2013-01-10,-30.19429,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2014-01-12,-30.603989,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,"Khabarovsk, Southern microdistrict",2014-01-13,-31.22609,48.39,135.11,48.5,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2010-01-12,-31.731583,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2010-01-13,-33.109756,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2010-01-14,-30.185562,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2011-01-08,-30.066086,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2011-01-09,-30.60379,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2011-01-12,-31.633331,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2011-01-13,-31.909683,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2011-01-14,-31.74466,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2012-01-10,-31.768814,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2013-01-07,-30.242722,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2013-01-08,-30.031723,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2013-01-09,-31.321396,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2014-01-12,-31.017242,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Khekhtsir,2014-01-13,-30.552582,48.13,135.07,48.0,135.0
Russia,Khabarovskyi kr.,Troitskoe,2005-12-30,-30.048233,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2006-01-09,-30.738724,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2010-01-12,-31.52324,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2010-01-13,-32.988327,49.42,136.56,49.5,136.5
Russia,Khabarovskyi kr.,Troitskoe,2010-01-14,-30.12973,49.42,136.56,49.5,136.5
