Country,Region,Locality,Latitude,Longitude,Source of information
Canada,New Brunswick,,45.842672,-66.512366,GBIF 2020
Canada,New Brunswick,,45.8435,-66.51155,GBIF 2020
Canada,New Brunswick,,45.847145,-66.513962,GBIF 2020
Canada,Ontario,,46.243005,-79.419314,GBIF 2020
Canada,New Brunswick,,47.358282,-68.360839,GBIF 2020
Canada,New Brunswick,,47.404696,-68.362641,GBIF 2020
USA,Texas,,32.665969,-94.178925,GBIF 2020
USA,Texas,,32.846244,-97.474677,GBIF 2020
USA,Texas,,32.849357,-97.490523,GBIF 2020
USA,Texas,,32.87564,-97.478545,GBIF 2020
USA,Arkansas,,33.346878,-93.184067,GBIF 2020
USA,North Carolina,,35.059636,-83.431288,GBIF 2020
USA,North Carolina,,35.773787,-80.083005,GBIF 2020
USA,North Carolina,,36.053332,-79.738636,GBIF 2020
USA,Tennessee,,36.1655,-83.380837,GBIF 2020
USA,Virginia,,36.982535,-80.391197,GBIF 2020
USA,Virginia,,37.092422,-80.111102,GBIF 2020
USA,Virginia,,37.324547,-80.41503,GBIF 2020
USA,Virginia,,37.35154,-80.806545,GBIF 2020
USA,Virginia,,37.417617,-80.27385,GBIF 2020
USA,Virginia,,37.43432,-80.28723,GBIF 2020
USA,Virginia,,37.469222,-77.670037,GBIF 2020
USA,Kentucky,,37.554375,-84.238708,GBIF 2020
USA,Kentucky,,37.557232,-84.246094,GBIF 2020
USA,Kentucky,,37.592124,-84.287778,GBIF 2020
USA,Kentucky,,37.706822,-84.272387,GBIF 2020
USA,Virginia,,37.806143,-79.186173,GBIF 2020
USA,Kentucky,,37.83391,-83.608566,GBIF 2020
USA,Virginia,,38.242667,-77.973865,GBIF 2020
USA,Virginia,,38.618078,-77.360487,GBIF 2020
USA,Virginia,,38.622326,-77.534595,GBIF 2020
USA,Virginia,,38.62407,-77.536475,GBIF 2020
USA,Virginia,,38.68113,-77.253116,GBIF 2020
USA,Maryland,,38.7364,-76.8261,GBIF 2020
USA,Virginia,,38.738352,-77.318117,GBIF 2020
USA,Maryland,,38.768475,-77.02863,GBIF 2020
USA,Virginia,,38.779933,-77.38608,GBIF 2020
USA,Virginia,,38.782088,-77.802588,GBIF 2020
USA,Virginia,,38.832785,-77.994634,GBIF 2020
USA,Virginia,,38.840391,-77.428877,GBIF 2020
USA,Virginia,,38.840391,-77.428877,GBIF 2020
USA,Virginia,,38.858275,-78.168148,GBIF 2020
USA,District of Columbia,,38.912863,-76.943281,GBIF 2020
USA,District of Columbia,,38.913156,-76.941824,GBIF 2020
USA,District of Columbia,,38.915583,-76.952522,GBIF 2020
USA,Maryland,,38.922585,-76.906771,GBIF 2020
USA,District of Columbia,,38.931145,-76.993149,GBIF 2020
USA,Maryland,,38.931762,-76.938899,GBIF 2020
USA,Virginia,,38.972667,-77.36933,GBIF 2020
USA,District of Columbia,,38.973842,-77.039255,GBIF 2020
USA,Maryland,,39.065523,-76.844778,GBIF 2020
USA,Maryland,,39.089257,-77.020474,GBIF 2020
USA,Maryland,,39.090953,-77.023261,GBIF 2020
USA,Maryland,,39.093595,-77.024589,GBIF 2020
USA,Ohio,,39.099922,-84.661164,GBIF 2020
USA,Maryland,,39.113041,-77.107175,GBIF 2020
USA,Ohio,,39.141227,-84.517185,GBIF 2020
USA,Kansas,Wyandotte Co. Lake Park,39.1728499990759,-94.78297,GBIF 2020
USA,Maryland,,39.17722,-76.856372,GBIF 2020
USA,Maryland,,39.178863,-76.884524,GBIF 2020
USA,Maryland,,39.197383,-76.7135,GBIF 2020
USA,Maryland,,39.289701,-76.799736,GBIF 2020
USA,Maryland,,39.306367,-76.69532,GBIF 2020
USA,Maryland,,39.30722,-76.697777,GBIF 2020
USA,Ohio,,39.360881,-84.175564,GBIF 2020
USA,Maryland,,39.435627,-77.391579,GBIF 2020
USA,Maryland,,39.435846,-77.391374,GBIF 2020
USA,Indiana,,39.504495,-85.669062,GBIF 2020
USA,Indiana,,39.621471,-86.168106,GBIF 2020
USA,Maryland,Little Orleans Campground,39.631377,-78.392408,GBIF 2020
USA,Maryland,Little Orleans Campground,39.631377,-78.392408,GBIF 2020
USA,Maryland,,39.632839,-79.122963,GBIF 2020
USA,Ohio,,39.674245,-82.934967,GBIF 2020
USA,Colorado,,39.714073,-104.799855,GBIF 2020
USA,Missouri,,39.780602,-94.803436,GBIF 2020
USA,Indiana,,39.815953,-84.915955,GBIF 2020
USA,Pennsylvania,,39.819444,-79.4475,GBIF 2020
USA,Ohio,,39.830299,-81.730827,GBIF 2020
USA,Indiana,,39.907892,-86.209817,GBIF 2020
USA,Indiana,,39.9082,-86.209528,GBIF 2020
USA,Pennsylvania,,40.048814,-75.199447,GBIF 2020
USA,Pennsylvania,,40.053942,-78.316515,GBIF 2020
USA,Illinois,,40.079927,-88.204416,GBIF 2020
USA,Illinois,,40.091995,-88.292045,GBIF 2020
USA,Ohio,,40.096797,-83.109742,GBIF 2020
USA,Ohio,,40.100942,-82.899088,GBIF 2020
USA,Illinois,,40.143589,-87.744958,GBIF 2020
USA,Illinois,,40.214447,-87.745413,GBIF 2020
USA,Illinois,,40.24122,-87.781753,GBIF 2020
USA,Pennsylvania,,40.24172,-79.849757,GBIF 2020
USA,Pennsylvania,,40.301612,-75.035601,GBIF 2020
USA,Pennsylvania,,40.30162,-75.035569,GBIF 2020
USA,Pennsylvania,,40.332012,-80.107636,GBIF 2020
USA,New Jersey,,40.332915,-74.750771,GBIF 2020
USA,New Jersey,,40.333016,-74.750744,GBIF 2020
USA,Pennsylvania,,40.335333,-80.116068,GBIF 2020
USA,Pennsylvania,,40.399201,-79.328057,GBIF 2020
USA,Indiana,,40.418045,-86.839188,GBIF 2020
USA,Pennsylvania,,40.426,-75.542,GBIF 2020
USA,Pennsylvania,,40.442097,-79.900277,GBIF 2020
USA,New York,,40.507304,-74.221481,GBIF 2020
USA,Pennsylvania,,40.50932,-80.078997,GBIF 2020
USA,Pennsylvania,,40.543065,-79.908306,GBIF 2020
USA,New Jersey,,40.558091,-74.526014,GBIF 2020
USA,Ohio,,40.614229,-81.422337,GBIF 2020
USA,New York,,40.615208,-73.998552,GBIF 2020
USA,Ohio,,40.667562,-81.338929,GBIF 2020
USA,Ohio,,40.700593,-82.552171,GBIF 2020
USA,Pennsylvania,"Potter, Rt322,Rd 144",40.794737,-77.625817,GBIF 2020
USA,Ohio,,40.933884,-81.102458,GBIF 2020
USA,Ohio,,40.944603,-81.700374,GBIF 2020
USA,Ohio,,40.958412,-83.657692,GBIF 2020
USA,Ohio,,40.963669,-81.331219,GBIF 2020
USA,Pennsylvania,,40.969722,-76.580017,GBIF 2020
USA,Ohio,,41.06488,-81.307017,GBIF 2020
USA,Ohio,,41.101445,-81.441779,GBIF 2020
USA,Pennsylvania,,41.108108,-75.454899,GBIF 2020
USA,Ohio,,41.111851,-81.539931,GBIF 2020
USA,New Jersey,,41.140781,-74.830375,GBIF 2020
USA,Ohio,,41.15264,-81.136956,GBIF 2020
USA,New York,,41.170137,-73.740442,GBIF 2020
USA,New York,,41.179405,-73.669783,GBIF 2020
USA,New York,,41.183067,-73.677537,GBIF 2020
USA,New York,,41.199099,-73.558586,GBIF 2020
USA,New York,,41.199452,-73.552216,GBIF 2020
USA,New York,,41.201208,-73.557928,GBIF 2020
USA,New York,,41.203829,-73.553774,GBIF 2020
USA,New York,,41.204756,-73.552377,GBIF 2020
USA,Ohio,,41.206112,-81.720001,GBIF 2020
USA,Illinois,,41.212399,-88.026337,GBIF 2020
USA,Ohio,,41.220027,-81.577136,GBIF 2020
USA,New York,,41.22929,-73.577752,GBIF 2020
USA,New York,,41.244063,-73.595703,GBIF 2020
USA,New York,,41.244562,-73.595017,GBIF 2020
USA,Ohio,,41.245676,-81.719141,GBIF 2020
USA,New York,,41.247618,-73.588186,GBIF 2020
USA,Ohio,,41.258343,-81.541756,GBIF 2020
USA,Ohio,,41.259724,-81.563332,GBIF 2020
USA,Ohio,,41.280825,-81.567812,GBIF 2020
USA,New York,,41.288678,-74.032701,GBIF 2020
USA,New York,,41.2941,-73.996722,GBIF 2020
USA,New York,,41.294132,-73.996296,GBIF 2020
USA,New York,,41.294201,-73.996104,GBIF 2020
